algorithm,measure,serial_threshold,stop_threshold,filename,rsf_path,cluster_count,total_entities,largest_cluster_size,largest_cluster_pct,smallest_cluster_size,average_cluster_size,singleton_count
WCA,UEM,75,75,mapreduceclientcore_algo-wca_measure-uem_serial-75_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-75_stop-75.rsf,75,544,71,13.05,1,7.25,66
WCA,UEM,80,75,mapreduceclientcore_algo-wca_measure-uem_serial-80_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-80_stop-75.rsf,80,544,71,13.05,1,6.8,66
WCA,UEM,90,75,mapreduceclientcore_algo-wca_measure-uem_serial-90_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-90_stop-75.rsf,90,544,31,5.7,1,6.04,66
WCA,UEM,100,75,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-75.rsf,100,544,25,4.6,1,5.44,66
WCA,UEM,110,75,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-75.rsf,110,544,22,4.04,1,4.95,66
WCA,UEM,120,75,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-75.rsf,120,544,18,3.31,1,4.53,68
WCA,UEM,130,75,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-75.rsf,130,544,16,2.94,1,4.18,71
WCA,UEM,140,75,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-75.rsf,140,544,14,2.57,1,3.89,73
WCA,UEM,150,75,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-75.rsf,150,544,14,2.57,1,3.63,77
WCA,UEM,100,100,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-100.rsf,100,544,25,4.6,1,5.44,66
WCA,UEM,110,100,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-100.rsf,110,544,22,4.04,1,4.95,66
WCA,UEM,120,100,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-100.rsf,120,544,18,3.31,1,4.53,68
WCA,UEM,130,100,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-100.rsf,130,544,16,2.94,1,4.18,71
WCA,UEM,140,100,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-100.rsf,140,544,14,2.57,1,3.89,73
WCA,UEM,150,100,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-100.rsf,150,544,14,2.57,1,3.63,77
WCA,UEMNM,25,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-25_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-25_stop-25.rsf,25,544,520,95.59,1,21.76,24
WCA,UEMNM,50,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-25.rsf,50,544,495,90.99,1,10.88,49
WCA,UEMNM,75,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-25.rsf,75,544,86,15.81,1,7.25,66
WCA,UEMNM,80,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-25.rsf,80,544,86,15.81,1,6.8,66
